!@1	Evil Eye of the Clawstorm
!@2	Evil Eye of the Landmass
!@3	Evil Eye of the Glowing Blob
!@4	Evil Eye of the Fairy Witch
!@5	Evil Eye of the Bane Hunter
!@6	Dogma of Suffering
!@7	Dogma of Pain
!@8	Dogma of Hatred
!@9	Dogma of Terror
!@A	Dogma of Destruction
!@B	Signet of Skill
!@c	Wisdom: -- Baal --
!0@	Kite Shield (Immortal)
!01	Naginata (1)
!02	Naginata (2)
!03	Naginata (3)
!04	Naginata (4)
!05	Naginata (5)
!06	Naginata (6)
!07	Naginata (Sacred)
!08	Raptor Scythe (1)
!09	Raptor Scythe (2)
!1!	Warp Blade (3)
!1@	Balanced Knife (Immortal)
!10	Raptor Scythe (3)
!11	Raptor Scythe (4)
!12	Raptor Scythe (5)
!13	Raptor Scythe (6)
!14	Raptor Scythe (Sacred)
!15	Bonesplitter (1)
!16	Bonesplitter (2)
!17	Bonesplitter (3)
!18	Bonesplitter (4)
!19	Bonesplitter (5)
!2!	Warp Blade (4)
!2@	Crystal Sword (Immortal)
!20	Bonesplitter (6)
!21	Bonesplitter (Sacred)
!22	Mammen Axe (1)
!23	Mammen Axe (2)
!24	Mammen Axe (3)
!25	Mammen Axe (4)
!26	Mammen Axe (5)
!27	Mammen Axe (6)
!28	Mammen Axe (Sacred)
!29	Hammerhead Axe (2)
!3!	Warp Blade (5)
!3@	Scissors Katar (Immortal)
!30	Hammerhead Axe (3)
!31	Hammerhead Axe (4)
!32	Hammerhead Axe (5)
!33	Hammerhead Axe (6)
!34	Hammerhead Axe (Sacred)
!35	Ono (1)
!36	Ono (2)
!37	Ono (3)
!38	Ono (4)
!39	Ono (5)
!4!	Warp Blade (6)
!4@	War Scepter (Immortal)
!40	Ono (6)
!41	Ono (Sacred)
!42	Valaska (1)
!43	Valaska (2)
!44	Valaska (3)
!45	Valaska (4)
!46	Valaska (5)
!47	Valaska (6)
!48	Valaska (Sacred)
!49	Labrys (1)
!5!	Warp Blade (Sacred)
!5@	Yew Wand (Immortal)
!50	Labrys (2)
!51	Labrys (3)
!52	Labrys (4)
!53	Labrys (5)
!54	Labrys (6)
!55	Labrys (Sacred)
!56	Flamen Staff (1)
!57	Flamen Staff (2)
!58	Flamen Staff (3)
!59	Flamen Staff (4)
!6@	Long War Bow (Immortal)
!60	Flamen Staff (5)
!61	Flamen Staff (6)
!62	Flamen Staff (Sacred)
!63	Marrow Staff (1)
!64	Marrow Staff (2)
!65	Marrow Staff (3)
!66	Marrow Staff (4)
!67	Marrow Staff (5)
!68	Marrow Staff (6)
!69	Marrow Staff (Sacred)
!7@	Throwing Axe (Immortal)
!70	Hexblade (1)
!71	Hexblade (2)
!72	Hexblade (3)
!73	Hexblade (4)
!74	Hexblade (5)
!75	Hexblade (6)
!76	Hexblade (Sacred)
!77	Spirit Edge (1)
!78	Spirit Edge (2)
!79	Spirit Edge (3)
!8@	throwing Spear (Immortal)
!80	Spirit Edge (4)
!81	Spirit Edge (5)
!82	Spirit Edge (6)
!83	Spirit Edge (Sacred)
!84	Holy Lance (1)
!85	Holy Lance (2)
!86	Holy Lance (3)
!87	Holy Lance (4)
!88	Holy Lance (5)
!89	Holy Lance (6)
!9@	Bone Helm (Immortal)
!90	Holy Lance (Sacred)
!91	Tepoztopilli (1)
!92	Tepoztopilli (2)
!93	Tepoztopilli (3)
!94	Tepoztopilli (4)
!95	Tepoztopilli (5)
!96	Tepoztopilli (6)
!97	Tepoztopilli (Sacred)
!98	Warp Blade (1)
!99	Warp Blade (2)
!e@	Scythe (Immortal)
!q@	Light Plate (Immortal)
!r@	War Axe (Immortal)
!t@	Naginata (Immortal)
!w@	Thorn of Teror
!z@	Admin Charm
$$a	Dungeon Uberquest 1
02@	Scimitar (Sacred)
02+	+1 to Dexterity
03-	Wisdom: -- Damage Bonuses --
03!	Athulua's Hand (3)
03@	Saber (Sacred)
03+	+1 to Energy
04-	Wisdom: -- Dungeon Uberquests --
04!	Athulua's Hand (4)
04@	Falchion (Sacred)
04+	+1 to Vitality
05-	Wisdom: -- Summoning Uberquests --
05!	Athulua's Hand (5)
05@	Broad Sword (Sacred)
05+	+1% to Fire Spell Damage
06-	Wisdom: -- Uberlevels --
06!	Athulua's Hand (6)
06@	Long Sword (Sacred)
06+	+1% to Cold Spell Damage
07-	Wisdom: -- Hard Mode Charm --
07!	Athulua's Hand (Sacred)
07@	War Sword (Sacred)
07+	+1% to Lightning Spell Damage
08-	Wisdom: -- Elite Monsters --
08!	Phoenix Shield (1)
08@	Two-Handed Sword (Sacred)
08+	+1% to Poison Spell Damage
09-	Wisdom: -- Crafting Points --
09!	Phoenix Shield (2)
09@	Claymore (Sacred)
09+	+1% to Physical/Magic Spell Damage
0g0	Elixir of Greater Experience
0g1	Elixir of Greater Greed
0g2	Elixir of Greater Wealth
0g3	Elixir of Greater Strength
0g4	Elixir of Greater Dexterity
0g5	Elixir of Greater Energy
0g6	Elixir of Greater Vitality
0g7	Elixir of Power
0g8	Elixir of Love
0k0	Hint: Assault on Arreat
0k1	Hint: Creature of Flame
0k2	Hint: Infernal Machine
0k3	Hint: Death Projector
0k4	Hint: Azmodan
0k5	Hint: Rathma Square
0k6	Hint: Cathedral of Vanity
0k7	Hint: The Butcher
0k8	Hint: Akarat
0k9	Hint: Binding of Baal
0l0	x
0l1	Hint: Aldric Jitan
0l2	Hint: Legacy of Blood
0l3	Hint: Kurast 3000 BA
0l4	x
0l5	x
0l6	x
0l7	x
0l8	x
0l9	x
0m1	x
0m2	x
0m3	x
0m4	x
0m5	x
0sc	Scroll of Knowledge
0u1	Hammer of the Taan Judges
0u2	Weighted Companion Cube
1@@	War Axe (Sacred)
1@1	Compound Bow (1)
1@2	Serpent Bow (3)
1@3	Maple Bow (5)
1@4	Viper Bow (Sacred)
1@5	Spatha (2)
1@6	Backsword (4)
1@7	Ida (6)
1@8	Kriegsmesser (1)
1@9	Bonebreaker (3)
1@A	Goedendag (5)
1@B	Angel Star (Sacred)
1@C	Hand of God (2)
1@D	Needle Crossbow (4)
1@E	Dart Thrower (6)
1@F	Trebuchet (1)
1@G	Gambeson (1)
1@H	Lamellar Armor (3)
1@I	Kazarghand (5)
1@J	Banded Plate (Sacred)
1@K	Morion (2)
1@L	Cervelliere (4)
1@M	Einherjar Helm (6)
1@N	Parma (1)
1@O	Aspis (3)
1@P	Totem Shield (5)
1@Q	Bladed Shield (Sacred)
10-	Wisdom: -- Ennead Challenge --
10!	Phoenix Shield (3)
10@	Giant Sword (Sacred)
10+	Damage Reduced by 1
100	Short Sword (1)
101	Scimitar (1)
102	Saber (1)
103	Falchion (1)
104	Broad Sword (1)
105	Long Sword (1)
106	War Sword (1)
107	Two-Handed Sword (1)
108	Claymore (1)
109	Giant Sword (1)
11-	Wisdom: -- Dragon Challenge --
11!	Phoenix Shield (4)
11@	Bastard Sword (Sacred)
11+	Regenerate Mana 2%
110	Bastard Sword (1)
111	Flamberge (1)
112	Great Sword (1)
113	Crystal Sword (1)
114	Hand Axe (1)
115	Axe (1)
116	Double Axe (1)
117	Military Pick (1)
118	War Axe (1)
119	Large Axe (1)
12-	Wisdom: -- Heroic Bosses --
12!	Phoenix Shield (5)
12@	Flamberge (Sacred)
12+	+1% Bonus to Summoned Minion Damage
120	Broad Axe (1)
121	Battle Axe (1)
122	Great Axe (1)
123	Giant Axe (1)
124	Club (1)
125	Spiked Club (1)
126	Mace (1)
127	Morning Star (1)
128	Flail (1)
129	Scepter (1)
13-	Wisdom: -- Level Challenge --
13!	Phoenix Shield (6)
13@	Great Sword (Sacred)
13+	+1% Bonus to Summoned Minion Life
130	Grand Scepter (1)
131	War Scepter (1)
132	Javelin (1)
133	Pilum (1)
134	Short Spear (1)
135	Glaive (1)
136	Throwing Spear (1)
137	Spear (1)
138	Trident (1)
139	Brandistock (1)
14-	Wisdom: -- Black Road Challenge --
14!	Phoenix Shield (Sacred)
14@	Crystal Sword (Sacred)
14+	+1% Bonus to Summoned Minion Resistances
140	Spetum (1)
141	Pike (1)
142	Dagger (1)
143	Dirk (1)
144	Kriss (1)
145	Blade (1)
146	Throwing Knife (1)
147	Flying Knife (1)
148	Balanced Knife (1)
149	Throwing Axe (1)
15-	Wisdom: -- Upgrading Runes and Gems --
15!	Setzschild (1)
15@	Hand Axe (Sacred)
15+	3% Extra Gold from Monsters
150	Balanced Axe (1)
151	Short Staff (1)
152	Long Staff (1)
153	Gnarled Staff (1)
154	Battle Staff (1)
155	War Staff (1)
156	Bardiche (1)
157	Voulge (1)
158	Scythe (1)
159	Halberd (1)
16-	Wisdom: -- Unsocketing --
16!	Setzschild (2)
16@	Axe (Sacred)
16+	2% Better Chance of Getting Magic Items
160	Short Bow (1)
161	Hunter's Bow (1)
162	Long Bow (1)
163	Composite Bow (1)
164	Short Battle Bow (1)
165	Long Battle Bow (1)
166	Short War Bow (1)
167	Long War Bow (1)
168	Short Sword (2)
169	Scimitar (2)
17-	Wisdom: -- Chaos Reroll Recipes --
17!	Setzschild (3)
17@	Double Axe (Sacred)
17+	3% Bonus to Poison Skill Duration
170	Saber (2)
171	Falchion (2)
172	Broad Sword (2)
173	Long Sword (2)
174	War Sword (2)
175	Two-Handed Sword (2)
176	Claymore (2)
177	Giant Sword (2)
178	Bastard Sword (2)
179	Flamberge (2)
18-	Wisdom: -- Shrines and Crafting --
18!	Setzschild (4)
18@	Military Pick (Sacred)
18+	+1 to Wyrd
180	Great Sword (2)
181	Crystal Sword (2)
182	Hand Axe (2)
183	Axe (2)
184	Double Axe (2)
185	Military Pick (2)
186	War Axe (2)
187	Large Axe (2)
188	Broad Axe (2)
189	Battle Axe (2)
19-	Wisdom: -- Affix Bonus Recipes --
19!	Setzschild (5)
19@	Hammerhead Axe (1)
19+	+10 Defense
190	Great Axe (2)
191	Giant Axe (2)
192	Club (2)
193	Spiked Club (2)
194	Mace (2)
195	Morning Star (2)
196	Flail (2)
197	Scepter (2)
198	Grand Scepter (2)
199	War Scepter (2)
2@1	Compound Bow (2)
2@2	Serpent Bow (4)
2@3	Maple Bow (6)
2@4	Recurve Bow (1)
2@5	Spatha (3)
2@6	Backsword (5)
2@7	Ida (Sacred)
2@8	Kriegsmesser (2)
2@9	Bonebreaker (4)
2@A	Goedendag (6)
2@C	Hand of God (3)
2@D	Needle Crossbow (5)
2@E	Dart Thrower (Sacred)
2@F	Trebuchet (2)
2@G	Gambeson (2)
2@H	Lamellar Armor (4)
2@I	Kazarghand (6)
2@J	Ceremonial Armor (1)
2@K	Morion (3)
2@L	Cervelliere (5)
2@M	Einherjar Helm (Sacred)
2@N	Parma (2)
2@O	Aspis (4)
2@P	Totem Shield (6)
20-	Wisdom: -- Creature of Flame --
20!	Setzschild (6)
20@	Large Axe (Sacred)
20+	1% Chance to cast level 3 Thunder Hammer when you Kill an Enemy
200	Javelin (2)
201	Pilum (2)
202	Short Spear (2)
203	Glaive (2)
204	Throwing Spear (2)
205	Spear (2)
206	Trident (2)
207	Brandistock (2)
208	Spetum (2)
209	Pike (2)
21-	Wisdom: -- Infernal Machine --
21!	Setzschild (Sacred)
21@	Broad Axe (Sacred)
21+	Fire Resist +5%
210	Dagger (2)
211	Dirk (2)
212	Kriss (2)
213	Blade (2)
214	Throwing Knife (2)
215	Flying Knife (2)
216	Balanced Knife (2)
217	Throwing Axe (2)
218	Balanced Axe (2)
219	Short Staff (2)
22-	Wisdom: -- Death Projector --
22!	Bull Shield (1)
22@	Battle Axe (Sacred)
22+	Cold Resist +5%
220	Long Staff (2)
221	Gnarled Staff (2)
222	Battle Staff (2)
223	War Staff (2)
224	Bardiche (2)
225	Voulge (2)
226	Scythe (2)
227	Halberd (2)
228	Short Bow (2)
229	Hunter's Bow (2)
23-	Wisdom: -- Azmodan --
23!	Bull Shield (2)
23@	Great Axe (Sacred)
23+	Lightning Resist +5%
230	Long Bow (2)
231	Composite Bow (2)
232	Short Battle Bow (2)
233	Long Battle Bow (2)
234	Short War Bow (2)
235	Long War Bow (2)
236	Short Sword (3)
237	Scimitar (3)
238	Saber (3)
239	Falchion (3)
24-	Wisdom: -- Rathma Square --
24!	Bull Shield (3)
24@	Giant Axe (Sacred)
24+	Poison Resist +5%
240	Broad Sword (3)
241	Long Sword (3)
242	War Sword (3)
243	Two-Handed Sword (3)
244	Claymore (3)
245	Giant Sword (3)
246	Bastard Sword (3)
247	Flamberge (3)
248	Great Sword (3)
249	Crystal Sword (3)
25-	Wisdom: -- Cathedral of Vanity --
25!	Bull Shield (4)
25@	Club (Sacred)
25+	2% Curse Length Reduction
250	Hand Axe (3)
251	Axe (3)
252	Double Axe (3)
253	Military Pick (3)
254	War Axe (3)
255	Large Axe (3)
256	Broad Axe (3)
257	Battle Axe (3)
258	Great Axe (3)
259	Giant Axe (3)
26-	Wisdom: -- Toraja --
26!	Bull Shield (5)
26@	Spiked Club (Sacred)
26+	+15% Enhanced Defense
260	Club (3)
261	Spiked Club (3)
262	Mace (3)
263	Morning Star (3)
264	Flail (3)
265	Scepter (3)
266	Grand Scepter (3)
267	War Scepter (3)
268	Javelin (3)
269	Pilum (3)
27-	Wisdom: -- The Butcher --
27!	Bull Shield (6)
27@	Mace (Sacred)
27+	Total Character Defense Plus 1%
270	Short Spear (3)
271	Glaive (3)
272	Throwing Spear (3)
273	Spear (3)
274	Trident (3)
275	Brandistock (3)
276	Spetum (3)
277	Pike (3)
278	Dagger (3)
279	Dirk (3)
28-	Wisdom: -- The Binding of Baal --
28!	Bull Shield (Sacred)
28@	Morning Star (Sacred)
28+	+2 to Life when Struck
280	Kriss (3)
281	Blade (3)
282	Throwing Knife (3)
283	Flying Knife (3)
284	Balanced Knife (3)
285	Throwing Axe (3)
286	Balanced Axe (3)
287	Short Staff (3)
288	Long Staff (3)
289	Gnarled Staff (3)
29-	Wisdom: -- Assault on Mount Arreat --
29!	Bronze Shield (1)
29@	Flail (Sacred)
29+	+2 to Mana when Struck
290	Battle Staff (3)
291	War Staff (3)
292	Bardiche (3)
293	Voulge (3)
294	Scythe (3)
295	Halberd (3)
296	Short Bow (3)
297	Hunter's Bow (3)
298	Long Bow (3)
299	Composite Bow (3)
2ax	Double Axe
2hs	Two-Handed Sword
2x5	Alpha Brain
2x6	Beta Brain
2x7	Gamma Brain
2x8	Delta Brain
2x9	Epsilon Brain
3@1	Compound Bow (3)
3@2	Serpent Bow (5)
3@3	Maple Bow (Sacred)
3@4	Recurve Bow (2)
3@5	Spatha (4)
3@6	Backsword (6)
3@7	Bronze Sword (1)
3@8	Kriegsmesser (3)
3@9	Bonebreaker (5)
3@A	Goedendag (Sacred)
3@C	Hand of God (4)
3@D	Needle Crossbow (6)
3@E	Stinger Crossbow (1)
3@F	Trebuchet (3)
3@G	Gambeson (3)
3@H	Lamellar Armor (5)
3@I	Kazarghand (Sacred)
3@J	Ceremonial Armor (2)
3@K	Morion (4)
3@L	Cervelliere (6)
3@M	Spangenhelm (1)
3@N	Parma (3)
3@O	Aspis (5)
3@P	Totem Shield (Sacred)
30-	Wisdom: -- Akarat --
30!	Bronze Shield (2)
30@	Scepter (Sacred)
30+	1% Uninterruptable Attack
300	Short Battle Bow (3)
301	Long Battle Bow (3)
302	Short War Bow (3)
303	Long War Bow (3)
304	Short Sword (4)
305	Scimitar (4)
306	Saber (4)
307	Falchion (4)
308	Broad Sword (4)
309	Long Sword (4)
31-	Wisdom: -- Lord Aldric Jitan --
31!	Bronze Shield (3)
31@	Grand Scepter (Sacred)
31+	+1% Experience Gained
310	War Sword (4)
311	Two-Handed Sword (4)
312	Claymore (4)
313	Giant Sword (4)
314	Bastard Sword (4)
315	Flamberge (4)
316	Great Sword (4)
317	Crystal Sword (4)
318	Hand Axe (4)
319	Axe (4)
32-	Wisdom: -- Legacy of Blood --
32!	Bronze Shield (4)
32@	War Scepter (Sacred)
32+	2% Life Stolen per Hit
320	Double Axe (4)
321	Military Pick (4)
322	War Axe (4)
323	Large Axe (4)
324	Broad Axe (4)
325	Battle Axe (4)
326	Great Axe (4)
327	Giant Axe (4)
328	Club (4)
329	Spiked Club (4)
33-	Wisdom: -- Judgement Day --
33!	Bronze Shield (5)
33@	Javelin (Sacred)
33+	2% Mana Stolen per Hit
330	Mace (4)
331	Morning Star (4)
332	Flail (4)
333	Scepter (4)
334	Grand Scepter (4)
335	War Scepter (4)
336	Javelin (4)
337	Pilum (4)
338	Short Spear (4)
339	Glaive (4)
34-	Wisdom: -- Inarius' Revenge (hidden) --
34!	Bronze Shield (6)
34@	Pilum (Sacred)
34+	1% Chance to cast level 3 Celerity on Attack
340	Throwing Spear (4)
341	Spear (4)
342	Trident (4)
343	Brandistock (4)
344	Spetum (4)
345	Pike (4)
346	Dagger (4)
347	Dirk (4)
348	Kriss (4)
349	Blade (4)
35-	Wisdom: -- Kurast 3000 BA --
35!	Bronze Shield (Sacred)
35@	Short Spear (Sacred)
35+	25% Bonus to Attack Rating
350	Throwing Knife (4)
351	Flying Knife (4)
352	Balanced Knife (4)
353	Throwing Axe (4)
354	Balanced Axe (4)
355	Short Staff (4)
356	Long Staff (4)
357	Gnarled Staff (4)
358	Battle Staff (4)
359	War Staff (4)
36-	Wisdom: -- Island of the Sunless Sea --
36!	Gilded Shield (1)
36@	Glaive (Sacred)
36+	+15% Enhanced Damage
360	Bardiche (4)
361	Voulge (4)
362	Scythe (4)
363	Halberd (4)
364	Short Bow (4)
365	Hunter's Bow (4)
366	Long Bow (4)
367	Composite Bow (4)
368	Short Battle Bow (4)
369	Long Battle Bow (4)
37-	Wisdom: -- Khalimgrad --
37!	Gilded Shield (2)
37@	Throwing Spear (Sacred)
37+	+10 to Maximum Damage
370	Short War Bow (4)
371	Long War Bow (4)
372	Short Sword (5)
373	Scimitar (5)
374	Saber (5)
375	Falchion (5)
376	Broad Sword (5)
377	Long Sword (5)
378	War Sword (5)
379	Two-Handed Sword (5)
38-	Wisdom: -- Tran Athulua --
38!	Gilded Shield (3)
38@	Spear (Sacred)
38+	Adds Stun Attack: 0.2 seconds
380	Claymore (5)
381	Giant Sword (5)
382	Bastard Sword (5)
383	Flamberge (5)
384	Great Sword (5)
385	Crystal Sword (5)
386	Hand Axe (5)
387	Axe (5)
388	Double Axe (5)
389	Military Pick (5)
39-	Wisdom: -- Fauztinville --
39!	Gilded Shield (4)
39@	Trident (Sacred)
39+	1% Chance of Crushing Blow
390	War Axe (5)
391	Large Axe (5)
392	Broad Axe (5)
393	Battle Axe (5)
394	Great Axe (5)
395	Giant Axe (5)
396	Club (5)
397	Spiked Club (5)
398	Mace (5)
399	Morning Star (5)
4@1	Compound Bow (4)
4@2	Serpent Bow (6)
4@3	Viper Bow (1)
4@4	Recurve Bow (3)
4@5	Spatha (5)
4@6	Backsword (Sacred)
4@7	Bronze Sword (2)
4@8	Kriegsmesser (4)
4@9	Bonebreaker (6)
4@A	Angel Star (1)
4@C	Hand of God (5)
4@D	Needle Crossbow (Sacred)
4@E	Stinger Crossbow (2)
4@F	Trebuchet (4)
4@G	Gambeson (4)
4@H	Lamellar Armor (6)
4@I	Banded Plate (1)
4@J	Ceremonial Armor (3)
4@K	Morion (5)
4@L	Cervelliere (Sacred)
4@M	Spangenhelm (2)
4@N	Parma (4)
4@O	Aspis (6)
4@P	Bladed Shield (1)
40-	Wisdom: -- Kingdom of Shadow --
40!	Gilded Shield (5)
40@	Brandistock (Sacred)
40+	5% Open Wounds
400	Flail (5)
401	Scepter (5)
402	Grand Scepter (5)
403	War Scepter (5)
404	Javelin (5)
405	Pilum (5)
406	Short Spear (5)
407	Glaive (5)
408	Throwing Spear (5)
409	Spear (5)
41-	Wisdom: -- Ghosts of Old Bremmtown --
41!	Gilded Shield (6)
41@	Spetum (Sacred)
41+	-1% to Enemy Fire Resistance
410	Trident (5)
411	Brandistock (5)
412	Spetum (5)
413	Pike (5)
414	Dagger (5)
415	Dirk (5)
416	Kriss (5)
417	Blade (5)
418	Throwing Knife (5)
419	Flying Knife (5)
42-	Wisdom: -- Documentation --
42!	Gilded Shield (Sacred)
42@	Pike (Sacred)
42+	-1% to Enemy Cold Resistance
420	Balanced Knife (5)
421	Throwing Axe (5)
422	Balanced Axe (5)
423	Short Staff (5)
424	Long Staff (5)
425	Gnarled Staff (5)
426	Battle Staff (5)
427	War Staff (5)
428	Bardiche (5)
429	Voulge (5)
